GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CS304,com.example.cs304.service,ReservationService,3,0,0,0,1,0,1,0,1,0
CS304,com.example.cs304.service,AdminService,16,6,4,0,4,3,3,1,1,1
CS304,com.example.cs304.service,StudentService,14,6,2,0,2,3,3,1,2,1
CS304,com.example.cs304.service,MyUserDetailsService,72,9,4,0,17,1,3,1,1,1
CS304,com.example.cs304.service,CourseService,6,3,0,0,2,1,1,1,1,1
CS304,com.example.cs304.service,AuthService,22,9,0,0,5,4,1,1,1,1
CS304,com.example.cs304.filter,JwtAuthenticationFilter,78,9,8,0,18,4,6,1,2,1
CS304,com.example.cs304.response,Response,29,30,1,1,9,10,6,5,5,5
CS304,com.example.cs304.response,StatusCode,76,0,0,0,14,0,4,0,4,0
CS304,com.example.cs304.dto,MessageDTO,31,0,0,0,6,0,9,0,9,0
CS304,com.example.cs304.dto,UserDTO,12,14,0,0,5,7,2,4,2,4
CS304,com.example.cs304.dto,CourseDTO,3,0,0,0,1,0,1,0,1,0
CS304,com.example.cs304.controller,CourseController,213,41,4,0,53,13,10,4,8,4
CS304,com.example.cs304.controller,StudentController,35,12,0,0,8,1,3,1,3,1
CS304,com.example.cs304.controller,HelloController,0,9,0,0,0,4,0,4,0,4
CS304,com.example.cs304.controller,MessageController,54,36,2,2,10,9,2,3,0,3
CS304,com.example.cs304.controller,ProfessorController,22,6,2,0,4,3,2,1,1,1
CS304,com.example.cs304.controller,ForumController,143,120,6,0,32,19,4,6,1,6
CS304,com.example.cs304.controller,ReservationController,296,18,16,0,67,7,19,1,11,1
CS304,com.example.cs304.controller,EvaluationController,26,12,0,0,5,5,2,1,2,1
CS304,com.example.cs304.controller,AuthController,58,20,4,0,10,3,2,2,0,2
CS304,com.example.cs304.entity,Admin,24,0,0,0,10,0,7,0,7,0
CS304,com.example.cs304.entity,CourseStudent,53,0,0,0,23,0,13,0,13,0
CS304,com.example.cs304.entity,SecondaryReply,45,0,0,0,19,0,13,0,13,0
CS304,com.example.cs304.entity,Student,102,0,0,0,18,0,18,0,18,0
CS304,com.example.cs304.entity,CourseProfessor,24,0,0,0,10,0,7,0,7,0
CS304,com.example.cs304.entity,Rate,66,0,0,0,28,0,19,0,19,0
CS304,com.example.cs304.entity,Reply,35,3,0,0,6,1,10,1,10,1
CS304,com.example.cs304.entity,Room,38,0,0,0,16,0,11,0,11,0
CS304,com.example.cs304.entity,StudentReservation,56,3,0,0,24,1,16,1,16,1
CS304,com.example.cs304.entity,Professor,31,0,0,0,13,0,9,0,9,0
CS304,com.example.cs304.entity,Major,24,0,0,0,10,0,7,0,7,0
CS304,com.example.cs304.entity,Building,28,3,0,0,12,1,8,1,8,1
CS304,com.example.cs304.entity,Message,42,3,0,0,7,1,12,1,12,1
CS304,com.example.cs304.entity,ReservationRequest,61,0,0,0,25,0,17,0,17,0
CS304,com.example.cs304.entity,File,42,3,0,0,7,1,12,1,12,1
CS304,com.example.cs304.entity,Post,29,23,0,0,7,2,9,6,9,6
CS304,com.example.cs304.entity,Reservation,49,3,0,0,21,1,14,1,14,1
CS304,com.example.cs304.entity,Location,38,0,0,0,16,0,11,0,11,0
CS304,com.example.cs304.entity,SelectedCourse,108,0,0,0,46,0,31,0,31,0
CS304,com.example.cs304.entity,Department,24,0,0,0,5,0,7,0,7,0
CS304,com.example.cs304.entity,Course,547,88,126,0,0,16,79,19,16,19
CS304,com.example.cs304.entity,Like,24,0,0,0,10,0,7,0,7,0
CS304,com.example.cs304.configuration,SpringSecurityConfig,0,62,0,0,0,12,0,5,0,5
CS304,com.example.cs304,Cs304Application,5,3,0,0,2,1,1,1,1,1
CS304,com.example.cs304.converter,JsonParser.new TypeReference() {...},3,0,0,0,1,0,1,0,1,0
CS304,com.example.cs304.converter,AliasToEntityLinkedMapTransformer,68,0,8,0,15,0,8,0,4,0
CS304,com.example.cs304.converter,JwtTokenProvider,100,7,0,0,36,2,4,2,4,2
CS304,com.example.cs304.converter,JsonParser,55,0,6,0,15,0,6,0,3,0
